Cloud_Provider,STANDARD,ENTERPRISE,BUSINESS_CRITICAL,VPS,ON _DEMAND,CAPACITY_STORAGE
AWS_US_WEST_2,2,3,4,,40,23
AWS_US_EAST_1,2,3,4,,40,23
AWS_AP_SOUTHEAST_2,2.75,4.05,5.5,,46,25
AWS_EU_WEST_1,2.6,3.9,5.2,,40,23
AWS_AP_SOUTHEAST_1,2.5,3.7,5,,46,25
AWS_CA_CENTRAL_1,2.25,3.5,4.5,,46,25
AWS_EU_CENTRAL_1,2.6,3.9,5.2,,45,24.5
AWS_US_EAST_2,2,3,4,,40,23
AWS_AP_NORTHEAST_1,2.85,4.3,5.7,,46,25
AWS_AP_SOUTH_1,2.2,3.3,4.4,,46,25
AWS_EU_WEST_2,2.7,4,5.4,,42,24
AWS_AP_NORTHEAST_2,2.75,4.05,5.5,,46,25
AWS_EU_NORTH_1,2.6,3.9,5.2,7.8,40,23
AZURE_EASTUS2,2,3,4,,40,23
AZURE_WESTEUROPE,2.6,3.9,5.2,,40,23
AZURE_AUSTRALIAEAST,2.75,4.05,5.5,,46,25
AZURE_CANADACENTRAL,2.25,3.5,4.5,,46,25
AZURE_SOUTHEASTASIA,2.5,3.7,5,,35,20
AZURE_WESTUS2,2,3,4,,40,23
AZURE_SWITZERLANDN,3.1,4.65,6.2,,50.5,28.8
AZURE_CENTRALUS,2,3,4,,40,23
AZURE_SOUTHCENTRALUS,2,3,4,,40,23
AZURE_JAPANEAST,2.85,4.3,5.7,,46,25
AZURE_NORTHEUROPE,2.6,3.9,5.2,,40,23
GCP_US_CENTRAL1,2,3,4,,35,20
GCP_EUROPE_WEST2,2.7,4,5.4,,40,23
GCP_EUROPE_WEST4,2.6,3.9,5.2,,35,20
AWS_SA_EAST_1,3.1,4.65,6.2,,74,40.5
